Assault,Robbery,Rape,Murder,Theft,Vehicle Theft,Burglary,Arson,Kidnapping,Drug Crimes,Vandalism,Identity Theft,Animal Cruelty,Total Violent Crime,Total Violent Crime Grade,Total Property Crime,Total Property Crime Grade,Total “Other” Rate,Total “Other” Rate Grade,Total Crime,Total Crime Grade,Zipcode,City
2.224,1.406,0.3946,0.0279,10.99,5.017,4.672,0.2923,0.4135,10.72,8.786,1.133,0.013,4.052,D,20.97,D,21.07,D,46.092,D,92825,anaheim-ca
2.224,1.406,0.3946,0.0279,10.99,5.017,4.672,0.2923,0.4135,10.72,8.786,1.133,0.013,4.052,D,20.97,D,21.07,D,46.092,D,92850,anaheim-ca
2.224,1.406,0.3946,0.0279,10.99,5.017,4.672,0.2923,0.4135,10.72,8.786,1.133,0.013,4.052,D,20.97,D,21.07,D,46.092,D,92899,anaheim-ca
1.854,5.545,0.4443,0.0205,1.359,3.837,4.805,0.2992,0.1718,2.361,9.936,0.9198,0.0248,7.863,F,10.3,B,13.41,D,31.573,C,96703,anahola-hi
3.771,0.7064,0.5126,0.0359,27.64,0.4478,4.214,0.1618,0.0493,6.751,10.49,0.6352,0.0592,5.026,D,32.46,D,17.99,D,55.476,D-,77514,anahuac-tx
2.531,4.213,1.751,0.6103,11.97,3.334,8.601,0.942,4.072,12.2,9.981,1.427,0.3067,9.105,F,24.85,D,27.99,F,61.94499999999999,D-,99721,anaktuvuk-pass-ak
0.3148,0.3106,0.3175,0.0452,2.669,0.7822,1.239,0.0101,0.0767,0.6556,3.642,1.522,0.0108,0.9882,A,4.701,A,5.907,B,11.5962,A+,18320,analomink-pa
1.931,0.0456,0.606,0.0497,3.625,0.5974,6.306,0.1464,0.0978,8.098,6.685,1.439,0.1814,2.633,C,10.67,B,16.5,D,29.803,C,58710,anamoose-nd
10.88,0.3525,0.3113,0.0131,7.178,1.339,5.518,0.0426,0.1488,1.197,2.733,1.202,0.0419,11.56,F,14.08,C,5.323,A,30.963,C,52205,anamosa-ia
1.088,0.7078,0.064,0.1962,4.667,1.124,1.954,0.7753,1.245,14.62,17.93,0.6897,0.0558,2.056,B,8.521,B,34.55,F,45.126999999999995,D,00610,anasco-pr
0.9364,1.226,0.4359,0.0371,23.43,0.4395,7.087,0.0108,0.0113,0.429,9.385,0.8164,0.0455,2.636,C,30.96,D,10.69,C,44.286,D,99401,anatone-wa
2.005,1.011,0.4234,0.0349,51.99,0.4164,4.269,0.1408,0.012,6.408,3.37,0.8778,0.1128,3.474,C,56.82,F,10.78,C,71.074,D-,24808,anawalt-wv
15.56,1.021,1.511,0.0132,15.07,8.937,3.822,0.5794,0.7504,9.39,10.71,1.317,0.0613,18.11,F,28.41,D,22.23,D,68.75,D-,99501,anchorage-ak
15.56,1.021,1.511,0.0132,15.07,8.937,3.822,0.5794,0.7504,9.39,10.71,1.317,0.0613,18.11,F,28.41,D,22.23,D,68.75,D-,99502,anchorage-ak
15.56,1.021,1.511,0.0132,15.07,8.937,3.822,0.5794,0.7504,9.39,10.71,1.317,0.0613,18.11,F,28.41,D,22.23,D,68.75,D-,99503,anchorage-ak
15.56,1.021,1.511,0.0132,15.07,8.937,3.822,0.5794,0.7504,9.39,10.71,1.317,0.0613,18.11,F,28.41,D,22.23,D,68.75,D-,99504,anchorage-ak
15.56,1.021,1.511,0.0132,15.07,8.937,3.822,0.5794,0.7504,9.39,10.71,1.317,0.0613,18.11,F,28.41,D,22.23,D,68.75,D-,99507,anchorage-ak
15.56,1.021,1.511,0.0132,15.07,8.937,3.822,0.5794,0.7504,9.39,10.71,1.317,0.0613,18.11,F,28.41,D,22.23,D,68.75,D-,99508,anchorage-ak
15.56,1.021,1.511,0.0132,15.07,8.937,3.822,0.5794,0.7504,9.39,10.71,1.317,0.0613,18.11,F,28.41,D,22.23,D,68.75,D-,99509,anchorage-ak
15.56,1.021,1.511,0.0132,15.07,8.937,3.822,0.5794,0.7504,9.39,10.71,1.317,0.0613,18.11,F,28.41,D,22.23,D,68.75,D-,99510,anchorage-ak
15.56,1.021,1.511,0.0132,15.07,8.937,3.822,0.5794,0.7504,9.39,10.71,1.317,0.0613,18.11,F,28.41,D,22.23,D,68.75,D-,99511,anchorage-ak
15.56,1.021,1.511,0.0132,15.07,8.937,3.822,0.5794,0.7504,9.39,10.71,1.317,0.0613,18.11,F,28.41,D,22.23,D,68.75,D-,99513,anchorage-ak
